player,score,level,playtime
Fitz,34004,3,47
Dewey,64985,2,54
Susanna,75762,1,59
Shandeigh,1304,1,27
Louise,46632,3,46
Josefina,50260,2,47
Jania,26090,4,34
Bartie,14891,5,32
Bria,62712,2,14
Waneta,1623,1,38
Teressa,49628,4,8
Andres,23123,1,18
Renata,26283,3,29
Vergil,76192,2,41
Hally,28511,5,44
Bethina,13333,2,20
Helen-elizabeth,97059,4,58
Gianina,65292,1,4
Lyman,49482,1,44
Lotty,86656,2,39
Juliet,41804,1,44
Billie,35241,4,29
Brody,21586,1,55
Doe,22961,4,33
Elliot,62603,5,41
Anstice,63862,1,5
Ollie,54457,2,22
Murdock,20998,2,28
Caty,29693,5,56
Dunc,4784,3,25
Fancie,87780,4,55
Kaylil,70898,5,33
Leila,32369,3,43
Dasi,60095,1,53
Donalt,72866,1,16
Wallie,52362,5,49
Vassily,98316,1,35
Megan,12241,2,49
Elana,3256,3,4
Darius,69222,3,52
Moreen,27102,5,29
Koralle,91805,1,54
Colas,35400,4,53
Allard,40266,3,33
Margareta,89900,5,21
Udale,61706,1,12
Alvina,16329,2,60
Ethel,53435,3,28
Angie,8348,1,35
Floria,15718,3,32
Donelle,99341,3,15
Monica,23758,2,39
Clemmy,34683,4,47
Caye,81370,2,38
Morse,72286,2,54
Nonnah,58313,1,31
Ellette,44382,5,55
Erin,20462,3,49
Angil,11107,1,46
Joni,27644,3,48
Nikki,83472,5,25
Lenora,8998,1,60
Hilda,61778,4,16
Annalise,14885,1,3
Chantalle,25118,5,31
Dari,10576,4,4
Che,92018,3,41
Georgianne,79601,1,49
Pincas,76186,1,35
Giordano,67076,2,42
Anastassia,12003,5,53
Doloritas,19422,5,21
Kiley,70804,1,43
Haleigh,54584,1,31
Levey,61706,2,26
Ariel,95116,2,40
Anton,96872,2,31
Blakeley,96311,2,45
Gardie,25130,3,33
Daffie,13944,2,29
Ulla,11101,5,44
Leilah,36156,4,57
Barron,27082,4,27
Cesare,6420,5,54
Willey,75109,1,25
Zachary,60269,4,22
Jeannie,64367,5,30
Elnore,50857,5,59
Gustavus,59995,5,58
Tudor,41819,5,54
Rosanna,91525,1,42
Ara,99034,2,34
Lucias,11475,3,15
Sheilakathryn,72035,1,6
Dayna,94309,3,13
Morgun,7696,2,3
Kassia,57782,1,43
Joni,74414,4,9
Haily,41004,5,24
Nikos,63466,5,6
Cole,42251,2,26
Inessa,78075,3,57
Analiese,1822,4,22
Josee,77813,1,58
Saba,20585,5,52
Brander,63655,2,13
Pearla,57878,3,19
Desdemona,93210,1,50
Bee,34385,4,12
Nikolia,11742,3,15
Valentijn,29742,1,48
Wright,72400,2,29
Domeniga,34270,3,12
Jaye,94630,4,11
Haley,71215,3,40
Field,92279,3,31
Alan,41345,4,7
Phaedra,35848,5,29
Anne-marie,25264,4,45
Cher,18988,5,9
Debi,61175,1,34
Fredelia,49210,1,50
Ellynn,45205,3,48
Jerri,23534,4,3
My,15153,4,34
Dominik,64772,2,5
Caryl,91341,1,21
Marsha,56651,1,16
Schuyler,16332,1,17
Selie,82369,4,33
Derrik,69008,5,53
Dominic,154,5,43
Bernadine,45109,1,12
Dyanne,6819,5,17
Lidia,31717,4,46
Karol,77238,5,21
Stavros,28069,1,56
Ame,54367,5,38
Baird,33987,3,26
Kerby,4283,5,31
Jolynn,36489,2,33
Viva,13805,2,5
Livy,32995,4,7
Peggy,65126,3,19
Margalo,62280,4,44
Sheba,43853,4,43
Maisey,67108,4,26
Abram,11014,5,54
Joleen,51311,2,28
Gram,76807,4,12
Floyd,57697,5,8
Kittie,30571,4,54
Jedediah,64637,4,49
Clary,8595,2,48
Margareta,54156,4,44
Jorge,84530,2,18
Kalvin,53597,3,41
Debby,28373,1,16
Genni,64962,4,30
Mada,70445,1,14
Dean,41354,4,46
Cosimo,24623,5,28
Rita,35105,2,20
Patrice,9787,1,53
Janet,29137,5,19
Gianna,83985,1,50
Tobey,99724,1,6
Mandy,32409,5,14
Hadria,68863,5,58
Kristy,97859,3,45
Caleb,39697,3,1
Andrea,548,3,3
Lana,80228,5,35
Dew,47639,3,36
Isador,12042,5,49
Brittni,20180,4,36
Gabi,83305,4,35
Gustav,98057,3,50
Claiborne,90019,2,24
Codie,19095,1,46
Eddi,29051,4,25
Rayna,6812,4,46
Arlie,35860,1,59
Billi,92769,2,60
Yolanda,9425,1,47
Thalia,33931,2,16
Rozalin,77459,3,10
Gilda,20991,1,21
Gerek,34228,5,51
Jorry,18755,3,30
Zolly,64766,5,7
Kelila,23354,1,5
Cacilie,25872,3,48
Amandy,50056,1,47
Rhoda,85985,3,41
Harlan,47546,1,35
Salomon,96278,1,59
Aldrich,25586,4,31
Bing,64013,5,35
Olin,44575,5,29
Madelin,9561,5,60
Sacha,15303,2,2
Giselle,10016,1,48
Doyle,65018,1,33
Callida,66838,3,40
Morgana,3990,2,42
Skipton,55301,3,6
Claudetta,6918,3,33
Chloette,29329,5,14
Aryn,51410,2,40
Patricio,7571,5,17
Glyn,31246,4,27
Tessie,41529,2,46
Ricca,36359,2,48
Rachele,22258,1,37
Charlene,95932,1,19
Lemuel,11102,5,34
Viola,61145,3,34
Catlaina,76547,5,7
Iosep,77208,4,21
Missy,45528,1,4
Matthieu,89885,5,34
Nada,91840,3,17
Ryon,20681,3,34
Ilaire,46199,1,43
Juan,36529,3,5
Jake,39252,4,11
Rayner,64879,4,37
Reg,52173,2,59
Locke,47998,5,32
Ilysa,35107,1,7
Marielle,59848,3,12
Rosabelle,96310,2,29
Roseline,56215,1,43
Ibrahim,21917,5,24
Isidoro,38016,4,12
Lyndell,62108,2,7
Gaspar,40463,5,18
Carola,79352,5,13
Barny,7876,3,50
Frank,3897,4,32
Kurt,34294,3,35
Maurise,13670,3,2
Morgana,52516,4,35
Ailis,29107,2,40
Vance,84683,2,60
Wilbert,48670,4,50
Brianne,38390,3,29
Kyla,8313,2,25
Renard,89817,1,26
Hale,70879,3,27
Dell,62924,5,19
Ashlin,40102,1,7
Jeremy,26823,1,45
Esteban,27702,1,18
Lauren,28213,3,59
Brennen,11075,4,17
Ceciley,87696,2,8
Jackelyn,95380,4,31
Liva,10502,5,51
Eduino,44451,2,12
Nonie,21348,3,42
Porter,25411,3,3
Mabel,27186,2,15
Martyn,1900,4,51
Natale,10368,3,24
Cletus,49195,2,52
Kendell,53602,1,58
Madella,32498,2,51
Talbert,85546,3,17
Valeria,50096,4,47
Anthe,80056,2,4
Debby,65224,3,27
Carrol,55385,4,53
Samara,71692,4,23
Jeramey,70200,3,18
Dagny,26091,3,18
Avrit,1283,3,8
Maryanna,55917,2,35
Darryl,83807,5,32
Parrnell,14855,4,8
Demetris,82028,2,7
Waldon,83490,1,51
Fredra,27802,1,14
Aloisia,26556,4,11
Carma,3508,4,43
Meredeth,77542,4,60
Gisela,76146,5,20
Natty,44993,2,12
Janna,71492,5,57
Ardis,54389,3,3
Nerita,76906,5,36
Russell,93211,5,52
Tracy,75738,2,52
Coleen,46361,2,41
Row,59189,2,41
Maddalena,75046,4,17
Darb,71575,5,36
Thomas,32131,5,29
Kacey,1783,4,31
Inness,38576,2,60
Mozelle,76682,4,19
Mirabel,91378,4,21
Tomasina,63351,1,11
Ericha,17892,2,22
Alexandro,19048,1,34
Che,54133,3,27
Karlotta,39713,2,59
Dar,65594,4,37
Verge,46933,4,35
Rockwell,92364,1,58
Fanny,4337,1,37
Iorgos,47854,3,17
Clifford,16019,4,34
Dionysus,92744,4,41
Reinwald,681,2,4
Terrell,74093,4,14
Sherwynd,78739,5,21
Edwin,27374,3,36
Dix,13829,1,60
Malory,17488,1,45
Ermengarde,20682,5,37
Basia,69988,5,48
Leland,58693,3,39
Chariot,63829,1,46
Fedora,57701,2,15
Jethro,18657,4,2
Ernesta,85602,5,31
Mohandas,83692,5,53
Lionel,11859,4,18
Em,68150,5,10
Lurlene,83241,2,23
Quintin,18160,1,25
Anastasia,57897,1,15
Tripp,39698,5,48
Barby,97026,4,43
Katha,88894,2,31
Marvin,64600,3,27
Debbi,29205,2,24
Dirk,81284,1,1
Olav,2186,4,42
Merline,29558,3,31
Eartha,55562,1,16
Olga,35886,1,17
Maurice,43313,1,17
Frederica,35496,5,54
Melisenda,76298,1,55
Darnall,3066,4,10
Allene,33415,4,46
Brendis,49166,5,46
Jasun,62098,5,44
Ingemar,75433,2,28
Algernon,57278,4,52
Sky,14683,1,1
Alexandrina,13346,2,9
Georgiana,38032,1,8
Murvyn,24275,5,55
Cindie,16867,3,20
Ellie,44072,1,53
Giselle,4020,5,56
Marlowe,51069,1,10
Christalle,1066,1,3
Rutger,19414,2,5
Drugi,3743,3,12
Hanny,23585,1,42
Dynah,46643,3,21
Dredi,32847,4,22
Skippy,36930,1,58
Mildrid,46270,2,44
Lazare,1119,3,15
Noreen,19483,3,58
Haily,45440,3,56
Verna,4341,5,31
Sid,35520,4,29
Raquel,14473,3,42
Tarrah,21565,4,54
Shayne,87984,4,4
Jerrilee,87363,2,2
Barbey,41471,2,22
Cynthy,471,1,52
Krista,71166,2,19
Aymer,9923,3,8
Susette,58020,2,39
Reggis,12683,4,41
Zebadiah,60960,4,39
Dorelle,44770,1,19
Faina,56855,2,12
Leeann,33304,2,46
Kay,28252,5,56
Seth,83915,5,7
Annadiane,4212,2,30
Hadria,42890,4,16
Ediva,17193,4,58
Eugene,84254,1,18
Falito,7089,5,40
Darnell,75897,5,4
Elna,56507,5,17
Karlyn,72526,4,53
Murry,21611,1,56
Marcus,19145,3,12
Tiler,40910,1,60
Milena,33310,5,59
Hilda,3216,4,14
Agathe,12156,3,3
Sarah,87354,1,37
Whitaker,75088,4,5
Debora,55501,5,13
Fabiano,60725,5,37
Arabele,41709,3,28
Hermia,4413,4,13
Olivero,21346,4,4
Harv,49017,3,6
Alfi,91223,3,3
Burke,95399,2,52
Cherilyn,24316,4,18
Manda,70057,2,4
Brigit,61751,1,12
Joyce,47019,4,37
Emmalynn,93756,1,44
Frans,99036,2,59
Ali,67974,3,18
Melantha,20734,5,57
Jenn,34203,4,33
Josephina,70326,3,58
Kare,21112,2,17
Wallas,70938,5,58
Lorne,70246,1,6
Loreen,41122,4,6
Wallie,38467,3,11
Neilla,96010,5,51
Cornie,7834,4,38
Merilyn,39263,3,34
Isadora,65778,4,45
Kippie,90461,4,14
Mikael,59418,1,22
Sauveur,97374,4,52
Jewel,94939,2,53
Ulysses,16109,4,52
Mischa,52096,2,24
Tatum,74877,2,17
Francklyn,48739,3,22
Galvin,52395,4,18
Shaw,45186,5,22
Felizio,76712,1,40
Corty,10021,2,58
Veronike,42254,1,16
Ronalda,95742,5,34
Simon,32503,5,51
Brietta,98735,3,24
Joe,42377,5,44
Iorgo,77520,5,18
Milena,82790,5,25
Annnora,61149,3,28
Allen,15680,1,4
Hilliary,277,5,53
Hilton,87044,2,52
Zsazsa,99980,4,35
Orville,60363,1,15
Earlie,90676,5,3
Normie,79244,1,33
Tarra,32757,1,15
Horace,74923,4,53
Lief,39730,5,2
Vassili,94756,2,14
West,17822,4,22
Nanci,41990,4,49
Holmes,45780,5,17
Baudoin,82413,5,47
Noah,70626,3,2
Leontine,27677,5,48
Sheree,64296,2,44
Ilse,87048,3,1
Broderick,85834,5,51
Reilly,68975,4,27
Osmond,4887,4,41
Auberta,21298,1,28
Adrianne,77351,4,28
Tasia,21113,5,30
Keslie,72940,3,46
Madlen,83237,3,18
Shaun,72731,3,46
Arlan,37186,5,3
Zach,88580,1,35
Jerad,54937,4,37
Uriel,90227,1,50
Estele,69455,1,42
Sammy,41021,2,29
Lorrie,23303,5,15
Bank,89906,2,38
Natassia,44414,5,5
Abbott,68856,2,40
Phil,33683,5,15
Paula,28249,3,53
Grier,94622,5,36
Marve,5352,5,24
Ernst,92528,4,5
Zacharias,7104,4,41
Maurits,56242,5,2
Cherianne,61780,2,2
Jerrilyn,6889,3,35
Willa,46223,2,52
Chelsae,12312,5,24
Marwin,52096,3,31
Turner,90760,5,31
Eddy,99127,4,42
Ric,94671,4,37
Morgun,87104,5,60
Nance,95496,5,50
Tudor,87627,5,41
Brandon,5218,1,47
Erwin,2636,1,53
Emilee,68474,3,14
Fara,47318,4,11
Morgen,40169,2,23
Taryn,42225,2,27
Twila,67155,4,54
Skipp,80098,5,41
Barbra,13948,5,36
Rosette,85424,4,6
Vidovic,14243,4,15
Pattin,9619,3,14
Elfreda,25607,5,14
Mellicent,42242,3,30
Terza,33260,5,58
Fay,93721,4,11
Coralyn,72214,4,60
Chanda,96331,3,27
Corabel,35602,1,58
Alvin,36385,2,35
Burke,87433,1,57
Cindelyn,13414,2,18
Kincaid,22305,3,12
Terrie,49808,3,27
Hunt,81032,1,46
Marney,84340,1,57
Fernandina,57036,3,8
Gabriela,43443,1,37
Aharon,13789,5,34
Rois,13827,2,15
Tamara,42108,5,19
Jenilee,25242,5,58
Basia,73374,3,57
Marcello,51984,1,58
Aldrich,64330,1,38
Ranice,69259,4,45
Wandis,13757,3,49
Pacorro,83355,2,59
Antonetta,97108,5,40
Lucho,75984,1,5
Norman,13896,3,5
Corella,76328,1,56
Gilberto,96299,5,39
Carter,18588,2,3
Izaak,23753,1,31
Link,23096,1,32
Berenice,39195,2,49
Ardath,91533,4,28
Shena,91963,3,50
Harriet,14654,4,1
Stephana,53627,2,16
Kirbee,39924,3,54
Pandora,4136,3,18
Evin,95574,2,18
Kevyn,74903,4,44
Chane,8678,4,32
Agnese,43023,1,7
Lynnet,1336,2,36
Anallese,55238,5,10
Liva,25845,2,50
Monroe,96728,1,7
Flinn,18403,4,15
Karly,92731,2,55
Penelope,5696,5,42
Constantin,69748,2,50
Ivory,89915,2,49
Kelsey,99749,3,51
Tommi,457,4,33
Penni,42679,4,19
Lynda,76671,1,40
Arlyn,77630,5,13
Meredithe,4948,1,4
Angus,19103,1,6
Dukie,9555,4,59
Mallissa,94363,4,51
Hazel,32822,1,19
Saul,22929,3,24
Jerald,83807,1,12
Poul,62925,5,48
Leon,70815,4,54
Sharyl,73112,1,8
Darrin,13140,3,32
Bald,52725,1,22
Ford,25370,3,55
Pierrette,87573,4,50
Garik,65763,3,57
Alexis,69025,2,54
Catie,24722,1,37
Efrem,7134,5,59
Terrijo,35671,5,57
Kaia,64324,5,12
Ardelia,39227,1,25
Georgeta,18591,1,55
Baxie,44007,3,43
Pier,1340,5,9
Goldia,90140,4,1
Marisa,9335,1,41
Nata,33220,2,16
Dukie,11440,4,41
Windham,86479,4,36
Natalie,44778,3,40
Kelsey,48890,5,5
Artemas,78167,5,59
Dimitri,47757,4,43
Leif,34182,3,19
Sterne,38489,4,22
Standford,83811,2,26
Missy,90908,1,60
Debra,67697,2,53
Rheba,55337,2,3
Gar,8314,3,8
Prissie,66336,4,27
Adolph,97773,3,50
Jareb,67574,2,6
Angelique,55067,5,19
Kathryn,33788,2,26
Corby,33373,5,7
Sterling,29779,4,22
Daisey,54603,2,14
Nikki,68484,1,33
Corabella,62263,1,25
Celestina,60994,1,20
Ninette,73005,1,13
Zelma,12108,3,37
Brandice,44435,2,42
Keen,83775,5,22
Roth,91386,5,30
Waly,49679,4,35
Jeffrey,70352,2,40
Zara,69683,5,53
Myrvyn,72763,4,53
Ulysses,99493,4,38
Joel,72199,1,19
Norene,29042,2,60
Jacklyn,56508,3,2
Valina,82763,3,31
Vida,17978,3,43
Sandy,18022,1,8
Armin,13306,5,9
Genni,32888,4,35
Giraldo,85756,4,30
Arlene,78920,1,54
Rosella,20376,2,39
Linus,93059,3,36
Clarke,97315,2,19
Norrie,27803,4,3
Edyth,24853,5,10
Dulcine,20138,5,31
Armstrong,35021,2,16
Evania,20187,2,4
Laurella,51902,2,17
Berkley,27886,3,12
Imogene,23171,1,54
Griffy,50049,2,27
Arlinda,54250,2,38
Arlee,99179,5,9
Jeno,80244,4,28
Lenci,61026,5,35
Neddie,43149,1,59
Zilvia,93600,3,14
Toby,54335,4,17
Janine,95983,5,24
Timi,96613,1,19
Romola,89294,1,13
Jaymee,11727,3,41
Whitaker,99289,5,21
Talbert,85299,3,49
Daune,29221,5,52
Ellsworth,65569,1,28
Bailie,23647,3,34
Gerick,86535,3,29
Adelle,77484,5,28
Sarah,86443,2,25
Marcelline,48780,2,47
Carmina,51053,2,14
Hyacinthie,99418,5,17
Stanleigh,92229,1,23
Alicia,67609,3,20
Natasha,62230,4,38
Putnem,70571,4,2
Natty,49355,5,8
Aguste,89524,2,51
Florentia,59342,4,3
Ellsworth,91060,4,50
Niel,35202,4,20
Melvin,52613,3,32
Orin,28588,4,48
Gwenny,23420,4,47
Tiffi,97118,1,36
Stella,70661,3,32
Toddie,409,3,2
Woody,35948,1,44
Starr,73255,1,13
Dionysus,18943,5,52
Alonzo,47020,4,15
Bliss,4876,2,8
Yoshiko,8834,2,38
Carling,25894,2,45
Haley,92298,2,52
Charlene,68382,4,28
Delmer,92791,1,56
Elsbeth,22980,1,17
Launce,71017,5,13
Harris,92357,4,17
Zoe,31024,4,56
Giovanna,16052,3,20
Bernie,81191,5,3
Gabbi,23763,5,56
Desiree,21799,2,10
Godfry,28786,1,34
Mable,54123,4,41
Benny,76945,1,28
Odetta,56082,5,56
Bartram,45379,5,35
Stacee,29856,1,49
Ulric,93962,5,38
Ingram,22991,4,32
Idelle,38092,5,54
Linell,75075,4,45
Edy,99112,2,13
Ab,1910,5,17
Ezra,72504,2,15
Adrian,63344,5,48
Bria,36512,2,3
Sterling,69873,4,22
Timoteo,29638,4,30
Stearn,55575,3,1
Alys,64927,1,43
Katheryn,11716,4,23
Kai,15288,3,4
Pepita,64997,3,38
Tomi,1898,5,35
Katharina,79653,1,47
Kippie,73771,3,34
Ola,15081,3,34
Kingston,68696,5,21
Klarika,50960,3,8
Britt,77781,3,12
Sacha,49882,2,52
Brina,50177,4,1
Pammy,89990,4,41
Vita,82107,3,50
Ralf,2481,4,15
Dasha,40966,1,31
Brendis,44504,2,12
Brina,65878,5,51
Dominic,41831,4,30
Tracie,28609,4,31
Maggee,51377,3,47
Barbabra,16018,3,50
Artie,96587,5,22
Melina,46161,1,60
Alli,1998,5,53
Jocelyn,91812,4,54
Floria,57945,2,53
Madelaine,13268,2,24
Josy,76981,2,27
Owen,55668,3,21
Micky,14174,1,4
Leigh,23093,3,13
Dyan,65684,2,59
Ebeneser,71456,3,40
Cathe,77867,5,3
Artie,66287,3,60
Creighton,77474,3,57
Meghan,84197,2,25
Gilbert,30028,5,12
Ibbie,49972,5,9
Afton,14779,2,25
Orelia,48014,5,26
Amalie,74067,2,23
Alvin,70625,2,3
Amber,63642,4,23
Blondie,69129,2,16
Cristabel,20044,5,51
Andrea,1074,5,19
Elberta,8391,2,53
Dorene,7151,2,13
Iormina,41925,2,12
Melli,68633,3,20
Carmen,47271,2,9
Codie,95123,4,29
Winnie,80820,2,13
Liana,69067,2,19
Myrle,11268,4,45
Karleen,78157,3,54
Gavrielle,64430,2,2
Nonah,93685,4,57
Magda,71472,2,4
Krystalle,31945,1,10
Meridith,647,5,42
Cordi,55017,2,35
Saunder,66761,5,60
Rodrigo,50868,5,44
George,34808,5,56
Ara,13098,5,12
Georg,64901,4,35
Osmond,89707,1,41
Kale,63965,1,23
Waylan,69331,4,6
Gard,57657,1,49
Ave,80335,2,12
Fiann,18459,2,1
Portia,72425,2,20
Cecilius,65517,3,16
Carmine,53317,1,25
Valenka,71889,1,54
Birk,12731,4,14
Jonathon,18571,2,50
Gwenore,9926,4,35
Petronille,13593,3,11
Kendrick,6409,1,26
Tiffanie,51312,1,20
Pauletta,86163,5,30
Bruis,55623,1,25
Diana,64079,1,59
Bartlet,82519,1,18
Nat,14504,5,45
Ryley,14806,3,18
Amerigo,87761,2,29
Oliver,24628,2,59
Dana,87276,2,16
Norton,56334,1,41
Beilul,59836,3,43
Bobby,40764,3,58
Che,47726,1,8
Clare,77300,4,25
Nicoli,14270,3,23
Justinian,77799,5,25
Scarface,65656,3,57
Sloane,50157,5,9
Clarabelle,91413,2,42
Daron,960,4,35
Hughie,98079,1,29
Carey,62061,1,19
Monte,28876,2,30
Vite,3657,3,22
Tracey,33458,3,60
Ruprecht,69060,4,8
Brooks,14731,2,52
Adora,23118,1,8
Linnea,49396,3,28
Charmine,9356,3,26
Trescha,21812,2,14
Kingston,35774,2,58
Donica,49602,3,25
Cesar,30413,3,29
Emmeline,37040,4,37
Maia,66813,5,8
Neille,22286,2,52
Onida,45031,3,23
Anna-maria,73683,1,21
Ami,1498,5,55
Martyn,6579,2,49
Bel,52708,3,33
